Label (Grouping),United States,United States,United States,Alabama,Alabama,Alabama,Alaska,Alaska,Alaska,Arizona,Arizona,Arizona,Arkansas,Arkansas,Arkansas,California,California,California,Colorado,Colorado,Colorado,Connecticut,Connecticut,Connecticut,Delaware,Delaware,Delaware,District of Columbia,District of Columbia,District of Columbia,Florida,Florida,Florida,Georgia,Georgia,Georgia,Hawaii,Hawaii,Hawaii,Idaho,Idaho,Idaho,Illinois,Illinois,Illinois,Indiana,Indiana,Indiana,Iowa,Iowa,Iowa,Kansas,Kansas,Kansas,Kentucky,Kentucky,Kentucky,Louisiana,Louisiana,Louisiana,Maine,Maine,Maine,Maryland,Maryland,Maryland,Massachusetts,Massachusetts,Massachusetts,Michigan,Michigan,Michigan,Minnesota,Minnesota,Minnesota,Mississippi,Mississippi,Mississippi,Missouri,Missouri,Missouri,Montana,Montana,Montana,Nebraska,Nebraska,Nebraska,Nevada,Nevada,Nevada,New Hampshire,New Hampshire,New Hampshire,New Jersey,New Jersey,New Jersey,New Mexico,New Mexico,New Mexico,New York,New York,New York,North Carolina,North Carolina,North Carolina,North Dakota,North Dakota,North Dakota,Ohio,Ohio,Ohio,Oklahoma,Oklahoma,Oklahoma,Oregon,Oregon,Oregon,Pennsylvania,Pennsylvania,Pennsylvania,Rhode Island,Rhode Island,Rhode Island,South Carolina,South Carolina,South Carolina,South Dakota,South Dakota,South Dakota,Tennessee,Tennessee,Tennessee,Texas,Texas,Texas,Utah,Utah,Utah,Vermont,Vermont,Vermont,Virginia,Virginia,Virginia,Washington,Washington,Washington,West Virginia,West Virginia,West Virginia,Wisconsin,Wisconsin,Wisconsin,Wyoming,Wyoming,Wyoming,Puerto Rico,Puerto Rico,Puerto Rico
Population for whom poverty status is determined (2021),"324,173,084","41,393,176",12.8%,"4,920,613","794,326",16.1%,"716,769","75,165",10.5%,"7,126,930","908,961",12.8%,"2,944,289","480,153",16.3%,"38,481,790","4,733,036",12.3%,"5,696,140","553,272",9.7%,"3,506,226","354,166",10.1%,"978,675","113,450",11.6%,"637,491","105,007",16.5%,"21,368,535","2,805,433",13.1%,"10,529,506","1,476,348",14.0%,"1,402,392","156,735",11.2%,"1,868,374","205,702",11.0%,"12,380,582","1,498,523",12.1%,"6,608,427","803,021",12.2%,"3,100,317","344,696",11.1%,"2,854,624","333,518",11.7%,"4,379,845","721,878",16.5%,"4,501,071","883,236",19.6%,"1,338,019","154,117",11.5%,"6,023,847","618,372",10.3%,"6,748,410","700,138",10.4%,"9,847,403","1,286,329",13.1%,"5,587,189","519,731",9.3%,"2,861,627","554,152",19.4%,"5,999,824","761,311",12.7%,"1,079,864","128,123",11.9%,"1,914,212","205,852",10.8%,"3,103,176","437,385",14.1%,"1,348,892","97,403",7.2%,"9,093,135","930,602",10.2%,"2,076,524","382,798",18.4%,"19,329,338","2,688,587",13.9%,"10,285,053","1,378,621",13.4%,"752,033","83,350",11.1%,"11,470,517","1,536,524",13.4%,"3,877,776","606,782",15.6%,"4,166,362","507,829",12.2%,"12,571,365","1,519,032",12.1%,"1,052,091","120,055",11.4%,"5,063,148","741,652",14.6%,"867,039","106,548",12.3%,"6,811,613","927,587",13.6%,"28,933,638","4,122,538",14.2%,"3,290,444","281,673",8.6%,"621,338","63,720",10.3%,"8,401,227","854,145",10.2%,"7,599,960","754,315",9.9%,"1,734,876","291,930",16.8%,"5,754,788","621,125",10.8%,"565,760","64,224",11.4%,"3,235,303","1,310,464",40.5%
    AGE (2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Under 18 years (2021),"72,297,129","12,243,219",16.9%,"1,103,627","245,003",22.2%,"176,588","21,833",12.4%,"1,586,648","275,064",17.3%,"690,445","154,527",22.4%,"8,627,293","1,362,975",15.8%,"1,224,844","144,882",11.8%,"719,860","91,767",12.7%,"205,442","34,539",16.8%,"122,588","29,258",23.9%,"4,219,463","752,966",17.8%,"2,484,553","501,818",20.2%,"296,907","40,502",13.6%,"461,648","60,418",13.1%,"2,760,199","442,261",16.0%,"1,551,131","248,513",16.0%,"724,140","90,715",12.5%,"689,888","92,213",13.4%,"995,301","219,560",22.1%,"1,068,903","287,337",26.9%,"244,214","36,926",15.1%,"1,339,565","187,386",14.0%,"1,339,918","169,324",12.6%,"2,117,472","376,831",17.8%,"1,283,502","138,621",10.8%,"680,255","188,567",27.7%,"1,352,376","218,688",16.2%,"229,376","32,436",14.1%,"474,684","59,447",12.5%,"685,347","128,531",18.8%,"251,688","23,089",9.2%,"1,995,597","284,150",14.2%,"465,933","111,324",23.9%,"4,027,293","746,684",18.5%,"2,269,757","410,555",18.1%,"179,948","18,884",10.5%,"2,559,302","474,953",18.6%,"939,910","198,923",21.2%,"837,941","113,211",13.5%,"2,632,992","445,513",16.9%,"202,567","30,414",15.0%,"1,099,064","220,768",20.1%,"215,397","31,413",14.6%,"1,507,673","272,142",18.1%,"7,367,995","1,441,171",19.6%,"935,096","76,102",8.1%,"115,055","11,994",10.4%,"1,856,919","242,656",13.1%,"1,646,563","198,149",12.0%,"352,747","73,022",20.7%,"1,252,535","167,864",13.4%,"128,980","17,330",13.4%,"541,690","297,526",54.9%
            Under 5 years (2021),"18,313,189","3,349,149",18.3%,"284,569","72,048",25.3%,"45,602","5,257",11.5%,"393,653","74,309",18.9%,"176,938","46,968",26.5%,"2,164,129","337,221",15.6%,"303,794","39,460",13.0%,"175,078","23,682",13.5%,"52,021","11,122",21.4%,"39,217","7,880",20.1%,"1,072,077","208,418",19.4%,"615,291","134,133",21.8%,"78,103","9,518",12.2%,"110,517","18,618",16.8%,"690,809","122,153",17.7%,"397,699","70,257",17.7%,"184,542","23,847",12.9%,"174,271","28,173",16.2%,"254,426","61,351",24.1%,"278,485","78,228",28.1%,"59,741","9,656",16.2%,"344,616","52,515",15.2%,"340,188","44,960",13.2%,"537,990","106,139",19.7%,"325,604","36,708",11.3%,"169,430","53,242",31.4%,"344,862","61,826",17.9%,"54,953","9,813",17.9%,"122,837","18,113",14.7%,"173,572","35,641",20.5%,"60,434","5,317",8.8%,"509,639","78,747",15.5%,"113,473","32,465",28.6%,"1,067,136","204,171",19.1%,"574,634","116,193",20.2%,"50,242","6,059",12.1%,"656,081","138,794",21.2%,"237,000","58,060",24.5%,"202,805","27,597",13.6%,"666,646","120,064",18.0%,"51,081","7,706",15.1%,"270,453","58,387",21.6%,"56,875","10,292",18.1%,"388,752","72,041",18.5%,"1,861,545","394,256",21.2%,"231,853","22,544",9.7%,"26,798","3,055",11.4%,"475,178","67,794",14.3%,"423,339","53,419",12.6%,"85,611","22,334",26.1%,"309,005","44,031",14.2%,"29,595","4,567",15.4%,"103,524","59,385",57.4%
            5 to 17 years (2021),"53,983,940","8,894,070",16.5%,"819,058","172,955",21.1%,"130,986","16,576",12.7%,"1,192,995","200,755",16.8%,"513,507","107,559",20.9%,"6,463,164","1,025,754",15.9%,"921,050","105,422",11.4%,"544,782","68,085",12.5%,"153,421","23,417",15.3%,"83,371","21,378",25.6%,"3,147,386","544,548",17.3%,"1,869,262","367,685",19.7%,"218,804","30,984",14.2%,"351,131","41,800",11.9%,"2,069,390","320,108",15.5%,"1,153,432","178,256",15.5%,"539,598","66,868",12.4%,"515,617","64,040",12.4%,"740,875","158,209",21.4%,"790,418","209,109",26.5%,"184,473","27,270",14.8%,"994,949","134,871",13.6%,"999,730","124,364",12.4%,"1,579,482","270,692",17.1%,"957,898","101,913",10.6%,"510,825","135,325",26.5%,"1,007,514","156,862",15.6%,"174,423","22,623",13.0%,"351,847","41,334",11.7%,"511,775","92,890",18.2%,"191,254","17,772",9.3%,"1,485,958","205,403",13.8%,"352,460","78,859",22.4%,"2,960,157","542,513",18.3%,"1,695,123","294,362",17.4%,"129,706","12,825",9.9%,"1,903,221","336,159",17.7%,"702,910","140,863",20.0%,"635,136","85,614",13.5%,"1,966,346","325,449",16.6%,"151,486","22,708",15.0%,"828,611","162,381",19.6%,"158,522","21,121",13.3%,"1,118,921","200,101",17.9%,"5,506,450","1,046,915",19.0%,"703,243","53,558",7.6%,"88,257","8,939",10.1%,"1,381,741","174,862",12.7%,"1,223,224","144,730",11.8%,"267,136","50,688",19.0%,"943,530","123,833",13.1%,"99,385","12,763",12.8%,"438,166","238,141",54.3%
            Related children of householder under 18 years (2021),"72,013,902","11,985,424",16.6%,"1,099,955","242,070",22.0%,"175,688","20,990",11.9%,"1,577,969","267,369",16.9%,"688,118","152,226",22.1%,"8,595,691","1,334,099",15.5%,"1,219,503","139,663",11.5%,"716,907","88,900",12.4%,"205,200","34,297",16.7%,"122,288","28,958",23.7%,"4,198,516","734,224",17.5%,"2,475,338","493,398",19.9%,"295,283","38,878",13.2%,"459,207","58,057",12.6%,"2,751,504","434,684",15.8%,"1,544,187","241,746",15.7%,"721,024","87,933",12.2%,"686,278","88,633",12.9%,"989,232","213,626",21.6%,"1,066,183","285,150",26.7%,"242,678","35,626",14.7%,"1,334,629","183,212",13.7%,"1,334,714","164,803",12.3%,"2,108,379","368,435",17.5%,"1,276,877","132,285",10.4%,"678,700","187,075",27.6%,"1,345,687","212,579",15.8%,"228,484","31,547",13.8%,"471,947","56,887",12.1%,"681,825","125,421",18.4%,"250,683","22,084",8.8%,"1,987,811","277,497",14.0%,"464,623","110,211",23.7%,"4,014,048","734,406",18.3%,"2,260,730","402,621",17.8%,"179,148","18,089",10.1%,"2,547,566","463,841",18.2%,"936,080","195,400",20.9%,"832,374","108,412",13.0%,"2,622,857","435,928",16.6%,"201,886","29,733",14.7%,"1,095,516","218,026",19.9%,"214,411","30,723",14.3%,"1,501,901","266,785",17.8%,"7,347,099","1,422,461",19.4%,"931,204","73,112",7.9%,"114,800","11,739",10.2%,"1,851,735","237,715",12.8%,"1,639,760","191,871",11.7%,"351,596","71,961",20.5%,"1,247,615","163,160",13.1%,"128,468","16,878",13.1%,"540,232","296,068",54.8%
        18 to 64 years (2021),"197,134,161","23,526,341",11.9%,"2,950,313","450,180",15.3%,"443,093","45,045",10.2%,"4,218,379","506,348",12.0%,"1,741,699","265,515",15.2%,"23,978,577","2,715,140",11.3%,"3,605,479","341,510",9.5%,"2,155,797","208,425",9.7%,"575,320","65,198",11.3%,"431,159","64,219",14.9%,"12,612,270","1,553,606",12.3%,"6,486,152","819,300",12.6%,"826,758","90,154",10.9%,"1,096,718","115,740",10.6%,"7,574,863","851,062",11.2%,"3,973,984","461,738",11.6%,"1,827,707","207,646",11.4%,"1,691,412","198,383",11.7%,"2,634,639","414,815",15.7%,"2,683,594","490,652",18.3%,"804,007","90,666",11.3%,"3,701,154","341,700",9.2%,"4,226,574","405,109",9.6%,"5,942,636","743,893",12.5%,"3,370,645","301,878",9.0%,"1,694,989","298,673",17.6%,"3,595,241","443,053",12.3%,"637,147","76,915",12.1%,"1,125,944","118,987",10.6%,"1,902,309","250,400",13.2%,"836,185","56,405",6.7%,"5,570,327","503,348",9.0%,"1,222,792","221,954",18.2%,"11,916,773","1,527,562",12.8%,"6,252,270","787,589",12.6%,"453,285","53,307",11.8%,"6,869,990","867,786",12.6%,"2,307,366","340,921",14.8%,"2,548,253","321,754",12.6%,"7,548,032","843,232",11.2%,"656,537","70,643",10.8%,"3,010,953","419,106",13.9%,"499,443","58,427",11.7%,"4,140,733","537,029",13.0%,"17,738,731","2,228,596",12.6%,"1,971,695","176,152",8.9%,"376,212","39,878",10.6%,"5,159,344","500,608",9.7%,"4,720,779","455,274",9.6%,"1,020,818","177,303",17.4%,"3,470,105","363,431",10.5%,"334,979","40,086",12.0%,"1,961,094","734,942",37.5%
            18 to 34 years (2021),"71,360,032","10,527,694",14.8%,"1,045,780","196,934",18.8%,"171,034","20,239",11.8%,"1,608,036","234,136",14.6%,"631,521","113,397",18.0%,"9,010,442","1,181,360",13.1%,"1,365,211","170,443",12.5%,"734,704","89,054",12.1%,"198,352","30,516",15.4%,"187,169","29,014",15.5%,"4,289,680","636,926",14.8%,"2,359,811","363,371",15.4%,"289,565","34,936",12.1%,"406,340","60,373",14.9%,"2,712,274","376,186",13.9%,"1,446,593","216,859",15.0%,"659,357","105,181",16.0%,"627,130","103,021",16.4%,"933,931","168,994",18.1%,"981,338","229,588",23.4%,"254,515","35,153",13.8%,"1,271,678","144,173",11.3%,"1,504,132","178,175",11.8%,"2,146,256","333,570",15.5%,"1,188,264","151,920",12.8%,"603,701","127,425",21.1%,"1,281,569","202,050",15.8%,"231,377","39,211",16.9%,"414,567","62,340",15.0%,"692,360","99,926",14.4%,"278,255","20,930",7.5%,"1,877,625","194,091",10.3%,"452,833","93,229",20.6%,"4,270,984","633,844",14.8%,"2,217,612","352,712",15.9%,"182,796","29,428",16.1%,"2,451,195","392,532",16.0%,"867,900","165,867",19.1%,"918,062","152,002",16.6%,"2,611,712","367,967",14.1%,"233,018","35,733",15.3%,"1,063,560","188,605",17.7%,"181,040","32,173",17.8%,"1,486,901","238,089",16.0%,"6,810,868","1,058,623",15.5%,"842,929","101,424",12.0%,"124,211","19,716",15.9%,"1,823,026","234,358",12.9%,"1,758,742","210,835",12.0%,"336,180","73,193",21.8%,"1,207,955","179,375",14.8%,"115,941","18,497",16.0%,"710,813","277,608",39.1%
            35 to 64 years (2021),"125,774,129","12,998,647",10.3%,"1,904,533","253,246",13.3%,"272,059","24,806",9.1%,"2,610,343","272,212",10.4%,"1,110,178","152,118",13.7%,"14,968,135","1,533,780",10.2%,"2,240,268","171,067",7.6%,"1,421,093","119,371",8.4%,"376,968","34,682",9.2%,"243,990","35,205",14.4%,"8,322,590","916,680",11.0%,"4,126,341","455,929",11.0%,"537,193","55,218",10.3%,"690,378","55,367",8.0%,"4,862,589","474,876",9.8%,"2,527,391","244,879",9.7%,"1,168,350","102,465",8.8%,"1,064,282","95,362",9.0%,"1,700,708","245,821",14.5%,"1,702,256","261,064",15.3%,"549,492","55,513",10.1%,"2,429,476","197,527",8.1%,"2,722,442","226,934",8.3%,"3,796,380","410,323",10.8%,"2,182,381","149,958",6.9%,"1,091,288","171,248",15.7%,"2,313,672","241,003",10.4%,"405,770","37,704",9.3%,"711,377","56,647",8.0%,"1,209,949","150,474",12.4%,"557,930","35,475",6.4%,"3,692,702","309,257",8.4%,"769,959","128,725",16.7%,"7,645,789","893,718",11.7%,"4,034,658","434,877",10.8%,"270,489","23,879",8.8%,"4,418,795","475,254",10.8%,"1,439,466","175,054",12.2%,"1,630,191","169,752",10.4%,"4,936,320","475,265",9.6%,"423,519","34,910",8.2%,"1,947,393","230,501",11.8%,"318,403","26,254",8.2%,"2,653,832","298,940",11.3%,"10,927,863","1,169,973",10.7%,"1,128,766","74,728",6.6%,"252,001","20,162",8.0%,"3,336,318","266,250",8.0%,"2,962,037","244,439",8.3%,"684,638","104,110",15.2%,"2,262,150","184,056",8.1%,"219,038","21,589",9.9%,"1,250,281","457,334",36.6%
        60 years and over (2021),"76,232,382","8,062,382",10.6%,"1,204,986","147,114",12.2%,"143,301","12,435",8.7%,"1,774,904","176,978",10.0%,"701,709","89,196",12.7%,"8,185,124","910,182",11.1%,"1,226,524","104,465",8.5%,"892,106","76,484",8.6%,"273,589","22,113",8.1%,"116,930","17,744",15.2%,"6,034,607","684,539",11.3%,"2,209,900","236,143",10.7%,"371,070","35,107",9.5%,"427,030","40,557",9.5%,"2,867,536","294,627",10.3%,"1,527,285","137,895",9.0%,"766,730","66,048",8.6%,"666,056","60,776",9.1%,"1,049,296","133,214",12.7%,"1,047,579","151,776",14.5%,"400,602","39,346",9.8%,"1,401,594","125,639",9.0%,"1,659,485","167,129",10.1%,"2,504,950","250,705",10.0%,"1,319,153","110,249",8.4%,"681,474","98,051",14.4%,"1,480,850","149,963",10.1%,"292,866","26,666",9.1%,"436,408","38,019",8.7%,"710,514","85,833",12.1%,"372,987","27,098",7.3%,"2,155,942","197,371",9.2%,"530,831","72,318",13.6%,"4,739,940","581,594",12.3%,"2,450,346","262,287",10.7%,"167,396","15,908",9.5%,"2,853,885","292,594",10.3%,"880,156","98,544",11.2%,"1,053,802","111,286",10.6%,"3,320,732","328,403",9.9%,"275,535","28,572",10.4%,"1,309,924","149,085",11.4%,"213,902","21,365",10.0%,"1,630,659","176,705",10.8%,"5,438,069","642,655",11.8%,"538,569","41,622",7.7%,"179,749","16,257",9.0%,"1,942,827","160,013",8.2%,"1,719,952","150,120",8.7%,"490,638","59,879",12.2%,"1,449,223","129,085",8.9%,"143,160","10,628",7.4%,"953,758","364,528",38.2%
