Discipline,HPSA Type,HPSA Sub -Type,Score  Category,Image,County,HPSA ID,HPSA Name,HPSA Status,Last Update Date,State V1,State/Territory,HPSA Score
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,St. Thomas,7789997803,St Thomas East End Medical Center Corporation,Designated,09/11/2021,U.S. Virgin Islands,U.S. Virgin Islands,23
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,St. Croix,7789997802,FREDERIKSTED HEALTH CARE INC,Designated,09/11/2021,U.S. Virgin Islands,U.S. Virgin Islands,23
Mental Health,Geographic Area,Geographic HPSA,0 - 13,1,St. John,7788997414,St. John Island,Designated,09/02/2022,U.S. Virgin Islands,U.S. Virgin Islands,12
Mental Health,Geographic Area,Geographic HPSA,0 - 13,1,St. Thomas,7787856161,St. Thomas County,Designated,04/08/2022,U.S. Virgin Islands,U.S. Virgin Islands,13
Mental Health,Geographic Area,Geographic HPSA,14 - 25,1,St. Croix,7784893094,St. Croix County,Designated,04/08/2022,U.S. Virgin Islands,U.S. Virgin Islands,18
Mental Health,Facility,Federally Qualified Health Center,0 - 13,1,Caguas,772999724A,"Corporacion De Salud Asegurada Por Nuestra Organizacin Solidaria, Inc. (S.A.N.O.S.)",Designated,09/11/2021,Puerto Rico,Puerto Rico,13
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,San Juan,7729997247,"HPM Foundation, Inc",Designated,09/11/2021,Puerto Rico,Puerto Rico,19
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Canovanas,7729997246,"Concilio De Salud Integral De Loiza, Inc.",Designated,09/10/2021,Puerto Rico,Puerto Rico,22
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Gurabo,7729997244,"Neomed Center, Inc.",Designated,09/11/2021,Puerto Rico,Puerto Rico,21
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Morovis,7729997243,Morovis Community Health Center Inc,Designated,09/12/2021,Puerto Rico,Puerto Rico,22
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Utuado,7729997242,"CENTRO DE SALUD DE LARES, INC.",Designated,09/11/2021,Puerto Rico,Puerto Rico,22
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Barceloneta,7729997241,"Servicios De Salud Primarios De Barceloneta, Inc.",Designated,09/11/2021,Puerto Rico,Puerto Rico,15
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Florida,7729997240,Centro De Servicios Primarios De Salud Inc,Designated,09/11/2021,Puerto Rico,Puerto Rico,22
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Hatillo,7729997239,Corporacion De Servicios Medico Primario Y Prevencion De Hatillo,Designated,09/12/2021,Puerto Rico,Puerto Rico,17
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Ciales,7729997238,"Prymed Medical Care, Inc.",Designated,01/27/2023,Puerto Rico,Puerto Rico,21
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Mayaguez,7729997237,"Migrant Health Center Western Region, Inc.",Designated,09/12/2021,Puerto Rico,Puerto Rico,20
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Rincon,7729997236,Costa Salud Community Health Centers Inc.,Designated,09/10/2021,Puerto Rico,Puerto Rico,22
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Camuy,7729997235,Camuy Health Services Inc,Designated,09/10/2021,Puerto Rico,Puerto Rico,19
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Patillas,7729997234,Centro De Servicios Primarios de Salud de Patillas Inc,Designated,09/10/2021,Puerto Rico,Puerto Rico,22
Mental Health,Facility,Federally Qualified Health Center,0 - 13,1,San Juan,7729997233,Municipio De San Juan,Designated,11/22/2021,Puerto Rico,Puerto Rico,10
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Ponce,7729997232,"MED CENTRO, INC.",Designated,09/12/2021,Puerto Rico,Puerto Rico,20
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Adjuntas,7729997231,"Hospital General De Castaner, Inc.",Designated,09/11/2021,Puerto Rico,Puerto Rico,22
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Naranjito,7729997230,SALUD INTEGRAL EN LA MONTANA INC,Designated,09/11/2021,Puerto Rico,Puerto Rico,21
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Arroyo,7729997229,"Centro De Salud Familiar Dr. Julio Palmieri Ferri, Inc.",Designated,09/11/2021,Puerto Rico,Puerto Rico,22
Mental Health,Facility,Federally Qualified Health Center,14 - 25,1,Cidra,7729997228,Corporacion de Servicios de Salud y Medicina Avanzada,Designated,11/05/2021,Puerto Rico,Puerto Rico,15
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Aguada,7729860102,LI - Aguada Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,21
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Vieques,7729840598,LI - Vieques Municipio,Designated,10/03/2023,Puerto Rico,Puerto Rico,18
Mental Health,Population Group,Low Income Population HPSA,14 - 25,1,Guanica,7729691733,LI - Guánica Municipio,Designated,11/22/2022,Puerto Rico,Puerto Rico,23
