State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,All Ages,2020,2683,29.088011473,7.272002868,53.235426182,13.308856546,45.338408060,11.334602015,13.730493820,3.432623455,41.945468114,10.486367028,692,2114,2285,1466,5039877
Alaska,All Ages,2020,719,49.544612672,12.386153168,98.133819589,24.533454897,83.120300598,20.780075149,25.386495749,6.346623937,70.836512332,17.709128083,186,519,609,363,732673
Arizona,All Ages,2020,3947,25.411210838,6.352802710,54.244483060,13.561120765,47.331644200,11.832911050,13.482097259,3.370524315,43.895839598,10.973959899,981,3194,3444,1849,7276316
Arkansas,All Ages,2020,1761,26.768974824,6.692243706,58.197734155,14.549433539,40.087366002,10.021841501,18.275608738,4.568902185,39.029826256,9.757456564,553,1181,1213,810,3025891
California,All Ages,2020,16492,18.698788588,4.674697147,42.030860214,10.507715053,41.340200311,10.335050078,10.408321193,2.602080298,37.298183315,9.324545829,4084,14635,16221,7337,39237836
Colorado,All Ages,2020,3483,24.724413974,6.181103493,59.927024266,14.981756067,44.252743730,11.063185933,15.295757845,3.823939461,39.538415666,9.884603916,889,2298,2572,1437,5812069
Connecticut,All Ages,2020,1595,18.804098184,4.701024546,44.236779651,11.059194913,34.806995901,8.701748975,11.398944474,2.849736119,31.978060776,7.994515194,411,1153,1255,678,3605597
Delaware,All Ages,2020,449,18.736595361,4.684148840,44.748570836,11.187142709,36.476563310,9.119140827,13.753458297,3.438364574,31.991739952,7.997934988,138,321,366,188,1003384
District of Columbia,All Ages,2020,320,14.775016790,3.693754197,47.757630028,11.939407507,30.893216924,7.723304231,8.954555630,2.238638908,27.759122454,6.939780613,60,186,207,99,670050
Florida,All Ages,2020,8060,18.121191887,4.530297972,37.004511428,9.251127857,33.010227937,8.252556984,10.761609775,2.690402444,31.375785497,7.843946374,2344,6834,7190,3947,21781128
Georgia,All Ages,2020,4573,20.852689821,5.213172455,42.344294206,10.586073551,39.492327747,9.873081937,11.018961318,2.754740329,36.612582395,9.153145599,1190,3954,4265,2252,10799566
Hawaii,All Ages,2020,510,14.290144032,3.572536008,35.378511924,8.844627981,47.656936651,11.914234163,10.752292840,2.688073210,38.222666804,9.555666701,155,551,687,206,1441553
Idaho,All Ages,2020,1012,24.303982855,6.075995714,53.237295777,13.309323944,36.455974282,9.113993570,13.467142015,3.366785504,34.509551413,8.627387853,256,656,693,462,1900923
Illinois,All Ages,2020,5476,18.908620618,4.727155155,43.215194702,10.803798676,38.716900148,9.679225037,11.237844641,2.809461160,36.578237298,9.144559325,1424,4635,4906,2396,12671469
Indiana,All Ages,2020,4118,26.197530556,6.549382639,60.505569730,15.126392433,49.309541529,12.327385382,16.294481989,4.073620497,46.694196358,11.673549090,1109,3178,3356,1783,6805985
Iowa,All Ages,2020,1664,21.797143134,5.449285783,52.112710021,13.028177505,39.554298531,9.888574633,13.372672583,3.343168146,37.017562046,9.254390511,427,1182,1263,696,3193079
Kansas,All Ages,2020,1593,22.490426234,5.622606559,54.283710593,13.570927648,39.664933541,9.916233385,14.175783808,3.543945952,35.269077504,8.817269376,416,1035,1164,660,2934582
Kentucky,All Ages,2020,2572,26.522410772,6.630602693,57.036488717,14.259122179,39.051810509,9.762952627,15.123983400,3.780995850,38.275653003,9.568913251,682,1726,1761,1196,4509394
Louisiana,All Ages,2020,1692,18.576800798,4.644200200,36.591323574,9.147830894,28.351787947,7.087946987,10.012874004,2.503218501,26.470319181,6.617579795,463,1224,1311,859,4624047
Maine,All Ages,2020,817,29.440763944,7.360190986,59.537386491,14.884346623,35.926476793,8.981619198,14.428889260,3.607222315,32.064198355,8.016049589,198,440,493,404,1372247
Maryland,All Ages,2020,2462,17.680084229,4.420021057,39.934281992,9.983570498,38.150053308,9.537513327,11.483944618,2.870986155,33.900344989,8.475086247,708,2090,2352,1090,6165129
Massachusetts,All Ages,2020,3040,16.278383552,4.069595888,43.523558486,10.880889622,34.317753188,8.579438297,10.322528180,2.580632045,30.394906140,7.598726535,721,2123,2397,1137,6984723
Michigan,All Ages,2020,4742,22.087769833,5.521942458,47.180272318,11.795068080,38.703344437,9.675836109,12.198020637,3.049505159,35.957297376,8.989324344,1226,3614,3890,2220,10050811
Minnesota,All Ages,2020,2701,19.588638590,4.897159647,47.324608972,11.831152243,39.913165212,9.978291303,13.351111454,3.337777863,35.375189009,8.843797252,762,2019,2278,1118,5707390
Mississippi,All Ages,2020,1012,18.915478658,4.728869665,34.305491760,8.576372940,29.322381791,7.330595448,10.745890205,2.686472551,29.017293426,7.254323356,317,856,865,558,2949965
Missouri,All Ages,2020,3300,22.794380261,5.698595065,53.500323515,13.375080879,36.574766621,9.143691655,14.364026253,3.591006563,35.050818012,8.762704503,886,2162,2256,1406,6168187
Montana,All Ages,2020,639,25.627767097,6.406941774,57.866230300,14.466557575,42.109228622,10.527307156,12.225259923,3.056314981,37.128567172,9.282141793,135,410,465,283,1104271
Nebraska,All Ages,2020,980,19.300379082,4.825094770,49.905993404,12.476498351,40.841435419,10.210358855,12.731120766,3.182780192,36.156382977,9.039095744,250,710,802,379,1963692
Nevada,All Ages,2020,1543,21.501333814,5.375333454,49.077748632,12.269437158,45.642624295,11.410656074,13.199783333,3.299945833,42.271113372,10.567778343,415,1329,1435,676,3143991
New Hampshire,All Ages,2020,777,25.846081187,6.461520297,55.939847026,13.984961756,35.277381007,8.819345252,12.887043266,3.221760816,34.917407732,8.729351933,179,485,490,359,1388992
New Jersey,All Ages,2020,3225,14.999250037,3.749812509,34.800418252,8.700104563,35.437077067,8.859269267,9.463555599,2.365888900,30.602786407,7.650696602,877,2836,3284,1390,9267130
New Mexico,All Ages,2020,967,19.093737490,4.773434373,45.702089488,11.425522372,36.202482469,9.050620617,11.579122983,2.894780746,32.374282626,8.093570657,245,685,766,404,2115877
New York,All Ages,2020,7298,16.107148685,4.026787171,36.791853241,9.197963310,34.861011943,8.715252986,9.371890268,2.342972567,31.155611542,7.788902885,1859,6180,6915,3195,19835913
North Carolina,All Ages,2020,4409,19.173243667,4.793310917,41.786866698,10.446716674,34.716555390,8.679138847,11.335244402,2.833811101,32.868417716,8.217104429,1196,3468,3663,2023,10551162
North Dakota,All Ages,2020,381,19.227096528,4.806774132,49.164589108,12.291147277,40.647888633,10.161972158,14.839705374,3.709926343,36.389538395,9.097384599,115,282,315,149,774948
Ohio,All Ages,2020,6111,22.690968952,5.672742238,51.875986257,12.968996564,39.694340000,9.923585000,14.779265599,3.694816400,36.799607335,9.199901834,1741,4335,4676,2673,11780017
