State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,Adults (Over 18),2020,1946,25.423566574,6.355891644,49.672952363,12.418238091,29.226891293,7.306722823,12.992565649,3.248141412,31.039213809,7.759803452,509,1216,1145,996,3917625
Alaska,Adults (Over 18),2020,519,45.001328352,11.250332088,93.797949458,23.449487364,50.061718689,12.515429672,24.940495231,6.235123808,47.170067068,11.792516767,138,261,277,249,553317
Arizona,Adults (Over 18),2020,2884,20.521594652,5.130398663,50.933114436,12.733278609,29.581472497,7.395368124,12.468369900,3.117092475,30.535143849,7.633785962,706,1729,1675,1162,5662328
Arkansas,Adults (Over 18),2020,1254,23.853585487,5.963396372,53.993494946,13.498373737,25.188352906,6.297088226,18.643686852,4.660921713,28.891256068,7.222814017,433,671,585,554,2322502
California,Adults (Over 18),2020,11809,14.912093977,3.728023494,38.762253528,9.690563382,23.784510887,5.946127722,9.318827823,2.329706956,24.296570465,6.074142616,2839,7402,7246,4543,30465205
Colorado,Adults (Over 18),2020,2517,20.006071865,5.001517966,55.093307312,13.773326828,28.061032966,7.015258241,13.986739520,3.496684880,28.061032966,7.015258241,639,1282,1282,914,4568613
Connecticut,Adults (Over 18),2020,1140,14.152155492,3.538038873,39.639944129,9.909986032,19.854743945,4.963685986,10.709739291,2.677434823,20.550181561,5.137545390,308,591,571,407,2875887
Delaware,Adults (Over 18),2020,313,13.457595995,3.364398999,39.366612585,9.841653146,22.387402684,5.596850671,12.199876744,3.049969186,21.129683432,5.282420858,97,168,178,107,795090
District of Columbia,Adults (Over 18),2020,270,13.965068953,3.491267238,49.612744963,12.403186241,23.336365223,5.834091306,9.187545364,2.296886341,22.601361594,5.650340399,50,123,127,76,544215
Florida,Adults (Over 18),2020,5812,14.040826332,3.510206583,33.226906614,8.306726653,19.277551463,4.819387866,9.673077424,2.418269356,21.587198791,5.396799698,1692,3776,3372,2456,17491848
Georgia,Adults (Over 18),2020,3244,16.579531481,4.144882870,39.201166271,9.800291568,24.543023643,6.135755911,10.126565146,2.531641287,26.706096627,6.676524157,838,2210,2031,1372,8275264
Hawaii,Adults (Over 18),2020,369,10.640599250,2.660149813,32.449430772,8.112357693,28.404244280,7.101061070,10.728538087,2.682134522,23.479669420,5.869917355,122,267,323,121,1137154
Idaho,Adults (Over 18),2020,728,21.021065063,5.255266266,50.841645733,12.710411433,25.141473165,6.285368291,12.361224306,3.090306076,25.770009994,6.442502498,177,369,360,301,1431897
Illinois,Adults (Over 18),2020,3974,15.585344709,3.896336177,40.270585094,10.067646273,23.752957086,5.938239272,10.508454137,2.627113534,25.333785288,6.333446322,1037,2500,2344,1538,9868245
Indiana,Adults (Over 18),2020,3039,22.648107992,5.662026998,58.229780193,14.557445048,32.592581806,8.148145451,16.056780455,4.014195114,34.853560438,8.713390109,838,1819,1701,1182,5218979
Iowa,Adults (Over 18),2020,1182,19.701201163,4.925300291,48.113263997,12.028315999,24.015927037,6.003981759,12.333603207,3.083400802,25.277780831,6.319445208,303,621,590,484,2456703
