State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,Youth (Under 18),2021,1333,56.760870108,14.190217527,118.779026458,29.694756614,119.313665736,29.828416434,26.197324665,6.549331166,96.680602931,24.170150733,294,1085,1339,637,1122252
Alaska,Youth (Under 18),2021,439,105.377015545,26.344253886,244.764602244,61.191150561,206.851178661,51.712794665,56.312585026,14.078146257,175.628359241,43.907089810,101,315,371,189,179356
Arizona,Youth (Under 18),2021,1887,52.478704922,13.119676231,116.915367401,29.228841850,116.295784107,29.073946027,28.872581457,7.218145364,95.601702119,23.900425530,466,1543,1877,847,1613988
Arkansas,Youth (Under 18),2021,901,53.028978275,13.257244569,128.094127147,32.023531787,103.072410857,25.768102714,35.400041798,8.850010449,89.850708498,22.462677125,249,632,725,373,703389
California,Youth (Under 18),2021,6962,37.161029570,9.290257393,79.360456401,19.840114100,93.939891009,23.484972752,19.994001799,4.998500450,75.256784424,18.814196106,1754,6602,8241,3260,8772631
Colorado,Youth (Under 18),2021,1564,55.168819805,13.792204951,125.778475475,31.444618869,110.015955530,27.503988883,35.385248855,8.846312214,93.368804365,23.342201091,440,1161,1368,686,1243456
Connecticut,Youth (Under 18),2021,748,48.238341259,12.059585315,102.506475175,25.626618794,96.750764002,24.187691001,20.830192816,5.207548204,82.087404585,20.521851146,152,599,706,352,729710
Delaware,Youth (Under 18),2021,292,67.212689756,16.803172439,140.186467205,35.046616801,140.666557846,35.166639462,23.524441415,5.881110354,108.980575533,27.245143883,49,227,293,140,208294
District of Columbia,Youth (Under 18),2021,138,31.787658442,7.946914610,109.667421624,27.416855406,119.203719156,29.800929789,23.840743831,5.960185958,92.978900942,23.244725235,30,117,150,40,125835
Florida,Youth (Under 18),2021,4170,46.138279618,11.534569905,97.219113697,24.304778424,96.333184124,24.083296031,23.990040286,5.997510072,81.319009251,20.329752313,1029,3488,4132,1979,4289280
Georgia,Youth (Under 18),2021,2382,43.299098127,10.824774532,94.362718882,23.590679721,97.848831083,24.462207771,24.204710847,6.051177712,77.209462259,19.302365565,611,1949,2470,1093,2524302
Hawaii,Youth (Under 18),2021,319,37.122329574,9.280582394,104.796664904,26.199166226,139.619381141,34.904845285,24.967230510,6.241807627,107.424794431,26.856198608,76,327,425,113,304399
Idaho,Youth (Under 18),2021,516,43.067974910,10.766993727,110.015223037,27.503805759,104.258612529,26.064653132,26.011351183,6.502837796,89.334066768,22.333516692,122,419,489,202,469026
Illinois,Youth (Under 18),2021,2564,37.385524667,9.346381167,91.466111877,22.866527969,89.611104928,22.402776232,22.224410179,5.556102545,76.412017020,19.103004255,623,2142,2512,1048,2803224
Indiana,Youth (Under 18),2021,2029,53.370938736,13.342734684,127.850808378,31.962702094,115.626531973,28.906632993,30.434667544,7.608666886,95.399765344,23.849941336,483,1514,1835,847,1587006
Iowa,Youth (Under 18),2021,839,46.851065217,11.712766304,113.936358599,28.484089650,97.776136104,24.444034026,27.974838941,6.993709735,85.282518713,21.320629678,206,628,720,345,736376
Kansas,Youth (Under 18),2021,768,46.652936290,11.663234073,109.236143509,27.309035877,87.332020982,21.833005246,25.602221135,6.400555284,70.121638997,17.530409749,180,493,614,328,703064
Kentucky,Youth (Under 18),2021,1132,53.351077652,13.337769413,111.426973990,27.856743497,83.570230492,20.892557623,27.463008607,6.865752152,75.400231516,18.850057879,279,766,849,542,1015912
Louisiana,Youth (Under 18),2021,777,33.981474556,8.495368639,71.748928614,17.937232153,69.255722600,17.313930650,17.914146913,4.478536728,54.296486519,13.574121630,194,588,750,368,1082943
Maine,Youth (Under 18),2021,435,65.896811944,16.474202986,172.681404793,43.170351198,123.060311462,30.765077865,39.696874665,9.924218666,113.533061542,28.383265386,100,286,310,166,251909
Maryland,Youth (Under 18),2021,1162,37.409117849,9.352279462,85.234107727,21.308526932,85.674214995,21.418553749,20.538339211,5.134584803,66.382846379,16.595711595,280,905,1168,510,1363304
Massachusetts,Youth (Under 18),2021,1356,40.818334186,10.204583547,99.549750281,24.887437570,89.198338195,22.299584549,23.198909358,5.799727339,72.826955958,18.206738990,316,992,1215,556,1362133
